email,first name,last name,debt amount,currency,duration,frequency,client number,reference,language,past due date,category,duration,frequency,lease,make,model,year
debtor1@test.ca,Annie1,Tremblay1,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor2@test.ca,Annie2,Tremblay2,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor3@test.ca,Annie3,Tremblay3,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor4@test.ca,Annie4,Tremblay4,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor5@test.ca,Annie5,Tremblay5,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor6@test.ca,Annie6,Tremblay6,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor7@test.ca,Annie7,Tremblay7,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor8@test.ca,Annie8,Tremblay8,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor9@test.ca,Annie9,Tremblay9,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor10@test.ca,Annie10,Tremblay10,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor11@test.ca,Annie11,Tremblay11,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor12@test.ca,Annie12,Tremblay12,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor13@test.ca,Annie13,Tremblay13,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor14@test.ca,Annie14,Tremblay14,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor15@test.ca,Annie15,Tremblay15,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor16@test.ca,Annie16,Tremblay16,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor17@test.ca,Annie17,Tremblay17,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor18@test.ca,Annie18,Tremblay18,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor19@test.ca,Annie19,Tremblay19,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor20@test.ca,Annie20,Tremblay20,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor21@test.ca,Annie21,Tremblay21,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor22@test.ca,Annie22,Tremblay22,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor23@test.ca,Annie23,Tremblay23,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
debtor24@test.ca,Annie24,Tremblay24,1000,CAD,14,3,a5618,ert-4534,1,8/2/2019,30,10,"1,2,3",vehicle,Nissan,Versa,2017
